City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,nova sintra,14.8667,-24.7167,23.65,82,0,7.58,CV,1719274065
117,saint-pierre,-21.3393,55.4781,16.77,80,6,6.31,RE,1719273905
118,haiku-pauwela,20.9219,-156.3051,30.68,71,22,4.47,US,1719274067
119,labrador city,52.9463,-66.9114,12.48,50,28,4.64,CA,1719274069
120,luanco,43.6152,-5.7934,19.7,95,0,4.47,ES,1719274070
121,zeya,53.75,127.2667,24.28,48,8,0.45,RU,1719274071
122,dampit,-8.2116,112.7493,22.18,93,99,1.59,ID,1719274073
123,san luis de la loma,17.2706,-100.8939,27.53,77,99,1.54,MX,1719274074
124,challapata,-18.9,-66.7667,8.89,30,0,0.78,BO,1719274075
125,sisimiut,66.9395,-53.6735,3.87,87,100,2.26,GL,1719273920
126,ola,59.5833,151.2833,9.65,87,97,3.13,RU,1719273878
127,crane,31.3974,-102.3501,35.3,31,0,7.31,US,1719273819
128,tiksi,71.6872,128.8694,5.34,75,100,1.05,RU,1719274081
129,bel ombre,-4.6167,55.4167,26.39,77,72,5.84,SC,1719274082
130,nola,40.922,14.5329,22.44,84,22,1.11,IT,1719274084
131,uturoa,-16.7333,-151.4333,24.97,69,91,8.19,PF,1719274085
132,clinton,42.587,-82.9199,26.23,60,3,0.89,US,1719273963
133,puerto ayora,-0.7393,-90.3518,21.97,94,82,0.89,EC,1719274088
134,yichang,30.7144,111.2847,25.17,78,100,0.85,CN,1719274089
135,lewiston orchards,46.3804,-116.9754,27.37,33,20,1.96,US,1719274034
136,redding,40.5865,-122.3917,37.76,11,0,0.45,US,1719274092
137,mammoth lakes,37.6485,-118.9721,22.76,34,6,6.92,US,1719274093
138,tura,25.5198,90.2201,25.33,96,100,2.71,IN,1719274095
139,khovd,48.0056,91.6419,22.16,36,13,1.17,MN,1719273979
140,enewetak,11.3474,162.3373,28.04,81,40,9.33,MH,1719274097
141,kuragino,53.8975,92.6725,18.92,85,8,1.38,RU,1719274099
142,dayrut,27.556,30.8076,32.28,19,0,3.34,EG,1719274100
143,ponta delgada,37.7333,-25.6667,18.44,99,92,4.54,PT,1719274102
144,kolonia town,6.964,158.206,28.54,81,73,8.07,FM,1719274103
